CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,Segment,CLV,AOV
12346.0,326,1,77183.6,1,1,5,Lost,77183.6,77183.6
12347.0,2,7,4265.0,5,5,5,Champions,4265.0,609.2857142857143
12348.0,75,4,1437.24,2,4,4,Loyal,1437.24,359.31
12349.0,19,1,1439.7,4,1,4,New,1439.7,1439.7
12350.0,310,1,254.20000000000002,1,1,2,Lost,254.20000000000002,254.20000000000002
12352.0,36,8,2173.84,3,5,5,Loyal,2173.84,271.73
12353.0,204,1,89.0,1,1,1,Lost,89.0,89.0
12354.0,232,1,843.34,1,1,3,Lost,843.34,843.34
12355.0,214,1,459.40000000000003,1,1,2,Lost,459.40000000000003,459.40000000000003
12356.0,23,3,2410.03,4,3,5,Potential,2410.03,803.3433333333334
12357.0,33,1,6045.47,4,1,5,New,6045.47,6045.47
12358.0,2,2,914.0200000000001,5,2,4,Potential,914.0200000000001,457.01000000000005
12359.0,58,4,6372.58,3,4,5,Loyal,6372.58,1593.145
12360.0,52,3,2038.18,3,3,5,Potential,2038.18,679.3933333333333
12361.0,287,1,174.9,1,1,1,Lost,174.9,174.9
12362.0,3,10,4697.68,5,5,5,Champions,4697.68,469.76800000000003
12363.0,110,2,432.0,2,2,2,Lost,432.0,216.0
12364.0,8,4,1067.1,5,4,4,Champions,1067.1,266.775
12365.0,291,2,641.38,1,2,3,Lost,641.38,320.69
12367.0,4,1,150.9,5,1,1,New,150.9,150.9
12370.0,51,4,3407.9900000000002,3,4,5,Loyal,3407.9900000000002,851.9975000000001
12371.0,60,1,1492.56,3,1,4,Lost,1492.56,1492.56
12372.0,72,3,1196.04,3,3,4,Potential,1196.04,398.68
12373.0,311,1,316.1,1,1,2,Lost,316.1,316.1
12374.0,25,1,605.53,4,1,3,New,605.53,605.53
12375.0,11,2,319.20000000000005,5,2,2,Lost,319.20000000000005,159.60000000000002
12377.0,315,2,1503.1200000000001,1,2,4,Lost,1503.1200000000001,751.5600000000001
12378.0,130,1,3750.67,2,1,5,Lost,3750.67,3750.67
12379.0,82,2,709.94,2,2,3,Lost,709.94,354.97
12380.0,22,4,2237.81,4,4,5,Champions,2237.81,559.4525
12381.0,5,3,1474.81,5,3,4,Potential,1474.81,491.6033333333333
12383.0,185,5,1381.62,1,4,4,Loyal,1381.62,276.32399999999996
12384.0,29,2,425.27000000000004,4,2,2,Lost,425.27000000000004,212.63500000000002
12386.0,338,2,401.9,1,2,2,Lost,401.9,200.95
12388.0,16,6,2780.6600000000003,4,5,5,Champions,2780.6600000000003,463.4433333333334
12390.0,80,1,474.84000000000003,2,1,3,Lost,474.84000000000003,474.84000000000003
12391.0,22,1,451.74,4,1,2,New,451.74,451.74
12393.0,72,4,1494.1000000000001,3,4,4,Loyal,1494.1000000000001,373.52500000000003
12394.0,64,2,1026.64,3,2,4,Potential,1026.64,513.32
12395.0,19,12,2519.88,4,5,5,Champions,2519.88,209.99
12397.0,36,2,2169.9,3,2,5,Potential,2169.9,1084.95
12398.0,46,1,1392.26,3,1,4,Lost,1392.26,1392.26
12399.0,119,4,1033.65,2,4,4,Loyal,1033.65,258.4125
12401.0,303,1,69.3,1,1,1,Lost,69.3,69.3
12402.0,323,1,195.6,1,1,1,Lost,195.6,195.6
12403.0,50,1,9.9,3,1,1,Lost,9.9,9.9
12405.0,149,1,1339.03,2,1,4,Lost,1339.03,1339.03
12406.0,22,2,3029.1,4,2,5,Potential,3029.1,1514.55
12407.0,50,5,1420.12,3,4,4,Loyal,1420.12,284.024
12408.0,33,5,2618.55,4,4,5,Champions,2618.55,523.71
12409.0,79,3,10606.83,2,3,5,At-Risk,10606.83,3535.61
12410.0,309,2,533.33,1,2,3,Lost,533.33,266.665
12412.0,75,3,1142.88,2,3,4,At-Risk,1142.88,380.96000000000004
12413.0,67,3,633.4000000000001,3,3,3,Potential,633.4000000000001,211.13333333333335
12414.0,217,3,442.41,1,3,2,At-Risk,442.41,147.47
12415.0,24,20,121826.35,4,5,5,Champions,121826.35,6091.3175
12417.0,3,9,3114.29,5,5,5,Champions,3114.29,346.03222222222223
12418.0,113,1,668.58,2,1,3,Lost,668.58,668.58
12420.0,64,1,600.39,3,1,3,Lost,600.39,600.39
12421.0,16,4,586.84,4,4,3,Loyal,586.84,146.71
12422.0,96,3,642.0600000000001,2,3,3,At-Risk,642.0600000000001,214.02
12423.0,1,8,1597.44,5,5,4,Champions,1597.44,199.68
12424.0,163,2,1760.96,2,2,4,Lost,1760.96,880.48
